Road_Type,Road_Condition,Vehicle_Speed,Speed_Limit,Vehicle_Type,Temperature,Humidity,Visibility,T_Junction,Crossing,Stop_Signal,Railway_Crossing,Speed_Breaker,Severity
Service Roads,Dry Road,44,41,Car,28,77,100,0,0,0,0,0,Low
Rural Roads,Dry Road,43,56,Car,34,55,65,0,0,0,0,1,Low
National Highway,Wet Road,55,77,Car,18,94,70,0,0,0,0,0,Medium
National Highway,Wet Road,59,76,Bike,27,52,100,0,0,0,1,0,Low
Expressway,Dry Road,91,98,Bike,14,38,78,1,1,1,0,0,Medium
Urban Roads,Dry Road,49,57,Bike,27,35,60,1,0,0,0,0,Medium
Expressway,Dry Road,78,99,Bike,34,85,93,1,0,0,0,1,Low
Urban Roads,Wet Road,38,51,Bike,28,42,51,1,0,1,0,0,Low
Service Roads,Dry Road,34,32,Car,42,64,100,0,0,0,0,0,Low
Service Roads,Wet Road,25,27,Bike,14,60,82,0,1,0,0,0,Medium
State Highway,Dry Road,83,78,Bike,32,54,85,1,0,1,0,0,Low
Urban Roads,Dry Road,24,34,Truck,18,70,80,0,0,0,0,0,Low
State Highway,Wet Road,61,71,Car,33,100,78,0,1,1,0,0,Medium
Expressway,Damaged Road,86,95,Bike,45,61,81,0,0,1,0,0,Medium
Rural Roads,Damaged Road,66,61,Car,22,93,46,0,0,0,0,0,Medium
Rural Roads,Wet Road,41,45,Car,25,33,76,0,0,0,0,1,Low
Service Roads,Damaged Road,20,23,Bike,27,81,50,1,0,0,0,0,Medium
State Highway,Wet Road,67,71,Car,36,40,48,1,1,1,0,0,Low
Rural Roads,Damaged Road,50,51,Car,24,100,84,0,0,0,0,0,Low
State Highway,Dry Road,70,62,Bike,33,81,100,0,0,0,0,1,Medium
Rural Roads,Wet Road,47,48,Bike,36,65,100,0,0,0,0,0,Medium
Urban Roads,Damaged Road,20,36,Truck,33,60,89,0,1,0,1,1,High
Service Roads,Wet Road,20,22,Car,17,56,92,0,0,1,0,0,Low
Rural Roads,Dry Road,37,41,Car,20,72,86,0,1,0,0,1,Medium
Expressway,Damaged Road,95,97,Bike,45,76,97,1,1,1,0,0,Medium
Rural Roads,Dry Road,31,43,Bike,30,100,37,0,0,0,0,1,Low
State Highway,Dry Road,73,81,Car,21,50,88,0,0,0,0,0,Low
Service Roads,Dry Road,20,24,Bus,31,51,92,0,0,0,1,1,Low
State Highway,Dry Road,58,85,Bus,27,55,61,0,1,0,0,1,Medium
Service Roads,Damaged Road,54,25,Bus,38,34,65,0,1,0,0,0,High
Urban Roads,Dry Road,33,30,Car,36,46,73,0,0,0,0,0,Medium
Urban Roads,Dry Road,39,51,Car,31,93,46,0,1,1,0,0,Low
State Highway,Dry Road,55,61,Bike,26,67,88,0,0,0,0,1,Low
Urban Roads,Dry Road,45,46,Bus,25,60,65,1,0,1,0,0,Medium
Rural Roads,Dry Road,65,58,Bus,32,81,87,0,0,0,0,1,Medium
Expressway,Wet Road,116,108,Car,25,75,70,1,0,0,0,0,Medium
Service Roads,Dry Road,46,30,Bike,30,78,68,0,0,1,0,0,Low
Expressway,Dry Road,98,108,Car,34,48,100,0,0,0,0,0,Low
State Highway,Damaged Road,58,65,Bus,22,66,61,0,1,0,0,0,High
Rural Roads,Damaged Road,38,57,Bus,31,69,64,0,1,0,0,0,Medium
Expressway,Damaged Road,61,93,Bike,18,50,70,1,0,0,1,0,Medium
Rural Roads,Dry Road,50,56,Bike,27,71,58,1,0,1,0,0,Medium
Expressway,Dry Road,91,98,Car,30,66,59,1,0,0,0,0,Medium
State Highway,Dry Road,82,77,Car,31,100,58,0,0,0,0,0,Medium
Service Roads,Damaged Road,34,33,Car,45,84,63,0,0,1,0,1,Medium
State Highway,Dry Road,59,88,Truck,44,88,65,1,0,0,0,1,Medium
Expressway,Dry Road,103,117,Car,39,33,63,0,1,1,1,1,Low
National Highway,Damaged Road,67,83,Bus,34,43,72,1,0,0,0,0,Medium
Urban Roads,Wet Road,36,35,Bus,24,96,77,0,1,0,0,1,Medium
Expressway,Damaged Road,114,116,Bike,40,45,88,0,0,0,0,0,High
